crime_category;crime_type;chrgcnt;ucr;district;beat_number;map_reference;incident_number;time_from;time_to;date_from;date_to;crimeday;location_category;lat;lon;apartment_complex;residential_subdivision;activity_date;phxrecordstatus;phxcommunity;phxstatus;record;offensecategory;violentproperty;timeframe;domestic;location;period;radio;street
ALL OTHER;ALL OTHER - BLACKMAIL/ EXTORTION;;2630;D1;114;P026;17000426;0001-01-01 03:40:00+00:00;0001-01-01 04:47:00+00:00;2017-01-16;01/16/2017;MONDAY;TOWN OWNED;35.788671414;-78.79625675;;OAKWOOD HEIGHTS;;;No;;3011;All Other Offenses;All Other;"""Last Year""";N;"35.788671414; -78.79625675";"""Everything;Last Year""";Everything,Last Year;KING ST
ALL OTHER;ALL OTHER - BLACKMAIL/ EXTORTION;;2630;D3;118;P004;16009674;0001-01-01 11:53:00+00:00;0001-01-01 15:15:00+00:00;2016-11-10;11/10/2016;THURSDAY;TOWN OWNED;35.741041415;-78.75461019;AMBERWOOD AT LOCHMERE APTS.;AMBERWOOD AT LOCHMERE APTS;26MAR2013;Suspende;Yes;Active;3019;All Other Offenses;All Other;"""Last Year""";N;"35.741041415; -78.75461019";"""Everything;Last Year""";Everything,Last Year;RIBBON LN
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;111;P024;17006197;0001-01-01 23:24:00+00:00;0001-01-01 23:24:00+00:00;2017-07-21;07/21/2017;FRIDAY;TOWN OWNED;35.802211609;-78.78662602;;;;;No;;3101;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.802211609; -78.78662602";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;NW MAYNARD RD/NORTHWOODS DR
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;113;P060;17008206;0001-01-01 14:45:00+00:00;0001-01-01 14:45:00+00:00;2017-09-22;09/22/2017;FRIDAY;TOWN OWNED;35.788318078;-78.78256802;;TCAP ZONE;;;No;;3198;All Other Offenses;All Other;"""Last Year;Last Month;Last 3 Months;Last 6 Months""";N;"35.788318078; -78.78256802";"""Everything;Last Year;Last Month;Last 3 Months;Last 6 Months""";Everything,Last Year, Last Month, Last 3 Months, Last 6 Months;N ACADEMY ST
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;114;P026;16009915;0001-01-01 05:02:00+00:00;0001-01-01 05:02:00+00:00;2016-11-18;11/18/2016;FRIDAY;TOWN OWNED;35.791369365;-78.78357141;;TCAP ZONE;;;No;;3213;All Other Offenses;All Other;"""Last Year""";N;"35.791369365; -78.78357141";"""Everything;Last Year""";Everything,Last Year;N HARRISON AV
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D3;115;P039;17003845;0001-01-01 21:48:56+00:00;0001-01-01 21:48:57+00:00;2017-05-06;05/06/2017;SATURDAY;TOWN OWNED;35.763702356;-78.78703981;ASHTON WOODS APTS.;ASHTON WOODS APARTMENTS;03JAN2011;Active;Yes;Active;3274;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.763702356; -78.78703981";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;PARKTON CT
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D3;115;P039;17007237;0001-01-01 15:47:30+00:00;0001-01-01 15:57:31+00:00;2017-08-23;08/23/2017;WEDNESDAY;TOWN OWNED;35.764096489;-78.78649186;SEDGEBROOK APTS.;SEDGEBROOK APARTMENTS;03JAN2011;Active;Yes;Active;3275;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.764096489; -78.78649186";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;SEDGEBROOK DR
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D3;115;P044;17004078;0001-01-01 14:10:06+00:00;0001-01-01 14:10:07+00:00;2017-05-14;05/14/2017;SUNDAY;TOWN OWNED;35.740045767;-78.78151828;;WAKE MEDICAL CENTER;;;No;;3283;All Other Offenses;All Other;"""Last Year;Last 6 Months""";Y;"35.740045767; -78.78151828";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;KILDAIRE FARM RD
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;120;P061;17003018;0001-01-01 23:21:13+00:00;0001-01-01 23:21:14+00:00;2017-04-10;04/10/2017;MONDAY;TOWN OWNED;35.776361503;-78.76466468;;CARY VILLAGE SQUARE;;;No;;3433;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.776361503; -78.76466468";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;SE MAYNARD RD
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;120;P121;17003860;0001-01-01 14:55:01+00:00;0001-01-01 14:55:02+00:00;2017-05-07;05/07/2017;SUNDAY;TOWN OWNED;35.77385099;-78.75931174;;CARY TOWNE CENTER;;;No;;3445;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.77385099; -78.75931174";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WALNUT ST
ALL OTHER;ALL OTHER - ESCAPE FROM CUSTODY OR RESIST ARREST;;2650;D1;120;P121;17004749;0001-01-01 20:50:00+00:00;0001-01-01 20:53:00+00:00;2017-06-03;06/03/2017;SATURDAY;TOWN OWNED;35.77385099;-78.75931174;;CARY TOWNE CENTER;;;No;;3446;All Other Offenses;All Other;"""Last Year;Last 6 Months""";N;"35.77385099; -78.75931174";"""Everything;Last Year;Last 6 Months""";Everything,Last Year, Last 6 Months;WALNUT ST
ALL OTHER;ALL OTHER - FALSE POLICE REPORT;;2690;D1;114;P036;17000662;0001-01-01 09:38:00+00:00;0001-01-01 09:38:00+00:00;2017-01-23;01/23/2017;MONDAY;TOWN OWNED;35.774399514;-78.78840398;;BURTROSE;;;No;;3468;All Other Offenses;All Other;"""Last Year""";N;"35.774399514; -78.78840398";"""Everything;Last Year""";Everything,Last Year;POND ST
ALL OTHER;ALL OTHER - KIDNAPPING;;2620;D1;114;P036;17006247;0001-01-01 02:21:34+00:00;0001-01-01 02:21:34+00:00;2017-07-24;07/24/2017;MONDAY;TOWN OWNED;35.779460312;-78.79406659;CHATHAM FOREST APTS.;CHATHAM FOREST APTS;03JAN2011;Active;Yes;Active;3549;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.779460312; -78.79406659";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;BUCKINGHAM CT
ALL OTHER;ALL OTHER - KIDNAPPING;;2620;D2;117;P014;17005653;0001-01-01 15:38:29+00:00;0001-01-01 15:38:30+00:00;2017-07-03;07/03/2017;MONDAY;TOWN OWNED;35.782433303;-78.85217326;;COLLINS GROVE;;;No;;3558;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";Y;"35.782433303; -78.85217326";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;MCRAE RD
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D1;113;P031;17006720;0001-01-01 22:00:00+00:00;0001-01-01 10:00:00+00:00;2017-08-05;08/08/2017;TUESDAY;TOWN OWNED;35.802080623;-78.76984151;GREGORY SOUTH;LANDMARK AT WATERCREST;24AUG2011;Active;Yes;Active;3640;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.802080623; -78.76984151";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;APPLEDOWN DR
ALL OTHER;ALL OTHER - MISSING PERSON;;8010;D1;113;P060;17006565;0001-01-01 21:45:00+00:00;0001-01-01 21:45:00+00:00;2017-08-02;08/02/2017;WEDNESDAY;TOWN OWNED;35.794710182;-78.76295896;;CENTRAL ZONE;;;No;;3652;All Other Offenses;All Other;"""Last Year;Last 3 Months;Last 6 Months""";N;"35.794710182; -78.76295896";"""Everything;Last Year;Last 3 Months;Last 6 Months""";Everything,Last Year, Last 3 Months, Last 6 Months;NE MAYNARD RD
